date,open,high,low,close,volume
2023-09-01,4970.0,4975.0,4931.0,4946.75,1099643.0
2023-09-05,4942.25,4945.75,4922.25,4923.75,994517.0
2023-09-06,4915.5,4916.75,4865.25,4890.0,1349174.0
2023-09-07,4855.25,4882.75,4851.25,4876.25,1195497.0
2023-09-08,4874.25,4898.5,4870.0,4883.25,906252.0
2023-09-11,4910.5,4916.0,4890.25,4910.0,452333.0
2023-09-12,4895.0,4911.5,4877.25,4884.25,908425.0
2023-09-13,4886.0,4902.25,4872.75,4893.25,1057885.0
2023-09-14,4914.75,4936.5,4899.75,4932.0,1148875.0
2023-09-15,4909.25,4913.25,4863.0,4868.25,1426183.0
2023-09-18,4863.5,4885.0,4858.5,4872.0,918042.0
2023-09-19,4859.25,4866.0,4828.5,4860.75,1205750.0
2023-09-20,4873.0,4877.5,4808.0,4809.0,1272270.0
2023-09-21,4778.25,4781.25,4725.0,4727.75,1564895.0
2023-09-22,4742.0,4760.0,4715.0,4721.0,1376815.0
2023-09-25,4705.25,4743.25,4700.0,4742.5,1225575.0
2023-09-26,4703.0,4711.5,4659.0,4674.0,1395209.0
2023-09-27,4680.75,4687.25,4628.0,4676.5,1645932.0
2023-09-28,4660.75,4713.25,4654.0,4698.75,1552263.0
2023-09-29,4728.25,4730.0,4665.0,4684.75,1688791.0
2023-10-02,4671.75,4693.75,4648.0,4681.25,1569633.0
2023-10-03,4654.0,4671.5,4600.25,4612.75,1822941.0
2023-10-04,4620.0,4657.25,4603.5,4643.0,1639771.0
2023-10-05,4643.0,4653.75,4607.5,4640.5,1333316.0
2023-10-06,4615.75,4716.25,4600.5,4702.0,1679148.0
2023-10-09,4676.5,4735.0,4670.25,4727.5,1124098.0
2023-10-10,4735.25,4781.75,4730.0,4752.0,1300552.0
2023-10-11,4763.75,4782.5,4736.5,4781.75,1171458.0
2023-10-12,4776.0,4780.25,4713.0,4740.25,1538240.0
2023-10-13,4755.75,4769.5,4697.0,4708.75,1814417.0
2023-10-16,4739.75,4776.5,4737.25,4767.75,1363829.0
2023-10-17,4728.0,4786.25,4724.25,4761.25,1565032.0
2023-10-18,4742.5,4753.0,4686.25,4704.5,1941303.0
2023-10-19,4704.75,4725.0,4645.25,4649.25,2334096.0
2023-10-20,4649.25,4655.5,4591.75,4593.0,1909835.0
2023-10-23,4578.75,4632.25,4559.0,4599.75,1592468.0
2023-10-24,4611.5,4642.75,4590.25,4620.75,1490241.0
2023-10-25,4602.75,4602.75,4548.75,4556.75,1683653.0
2023-10-26,4541.0,4550.25,4486.5,4502.0,1924065.0
2023-10-27,4515.25,4519.75,4460.75,4476.0,1815989.0
2023-10-30,4507.75,4542.0,4492.75,4528.5,1598816.0
2023-10-31,4535.75,4561.0,4514.25,4549.0,1457274.0
2023-11-01,4568.0,4614.75,4561.5,4607.75,1660486.0
2023-11-02,4646.75,4696.0,4646.25,4689.0,1418885.0
2023-11-03,4717.5,4752.25,4716.0,4738.0,1378545.0
2023-11-06,4742.25,4749.75,4722.5,4739.75,1104762.0
2023-11-07,4744.0,4764.75,4731.25,4758.5,1103513.0
