date,open,high,low,close,volume
2023-09-01,133.29,133.56,132.4,132.6,668159.0
2023-09-04,132.59,132.59,132.01,132.08,337231.0
2023-09-05,132.08,132.19,131.53,131.78,337436.0
2023-09-06,131.6,131.91,131.12,131.25,743223.0
2023-09-07,131.17,131.77,131.09,131.58,629943.0
2023-09-08,131.73,132.22,131.53,131.84,482256.0
2023-09-11,131.58,131.66,131.34,131.38,379259.0
2023-09-12,131.37,131.73,131.19,131.37,489842.0
2023-09-13,131.09,131.48,130.69,131.17,682351.0
2023-09-14,131.34,132.24,131.13,131.98,856852.0
2023-09-15,131.86,132.02,130.95,131.05,661601.0
2023-09-18,130.94,130.98,130.47,130.5,537127.0
2023-09-19,130.73,130.84,130.13,130.3,608840.0
2023-09-20,130.11,130.71,130.03,130.63,607403.0
2023-09-21,130.19,130.47,129.84,130.34,806242.0
2023-09-22,130.34,130.93,129.97,130.3,715055.0
2023-09-25,130.28,130.3,129.51,129.75,758448.0
2023-09-26,129.56,130.03,129.42,129.62,792537.0
2023-09-27,129.66,129.96,128.79,129.37,855130.0
2023-09-28,129.05,129.32,127.73,127.81,1400741.0
2023-09-29,128.36,129.52,128.18,129.37,1085574.0
2023-10-02,128.9,129.23,128.35,128.48,661164.0
2023-10-03,128.39,128.68,127.82,128.0,866975.0
2023-10-04,127.89,128.48,127.34,128.09,1008464.0
2023-10-05,128.25,129.01,127.93,128.8,900719.0
2023-10-06,128.87,128.9,128.03,128.67,878913.0
2023-10-09,128.9,130.19,128.66,129.98,756439.0
2023-10-10,130.03,130.21,129.34,129.88,1031200.0
2023-10-11,129.92,130.73,129.76,130.52,1106986.0
2023-10-12,130.66,130.94,129.49,129.89,976779.0
2023-10-13,129.65,130.7,129.55,130.26,824234.0
2023-10-16,130.23,130.33,129.65,129.81,655352.0
2023-10-17,129.78,129.87,128.69,128.82,966279.0
2023-10-18,128.82,129.01,128.29,128.34,865190.0
2023-10-19,128.4,128.61,128.0,128.25,996354.0
2023-10-20,128.24,128.86,128.2,128.82,771445.0
2023-10-23,128.49,129.09,127.9,128.89,804693.0
2023-10-24,129.0,129.85,128.95,129.29,912218.0
2023-10-25,129.51,129.75,128.56,128.86,742138.0
2023-10-26,128.63,129.52,128.29,129.2,937347.0
2023-10-27,129.4,129.69,129.04,129.38,757243.0
2023-10-30,129.46,130.17,129.18,129.46,843791.0
2023-10-31,129.41,130.21,129.23,129.72,1147851.0
2023-11-01,129.28,130.59,129.15,130.19,947060.0
2023-11-02,130.63,131.13,130.22,130.65,1319362.0
2023-11-03,130.64,131.5,130.41,131.28,1096950.0
2023-11-06,131.08,131.12,130.15,130.42,720215.0
2023-11-07,130.34,131.3,130.09,131.07,917930.0
2023-11-08,131.19,131.66,130.99,131.47,1062363.0
2023-11-09,131.54,131.67,130.51,131.18,886550.0
2023-11-10,130.47,130.87,130.19,130.56,836722.0
2023-11-13,130.35,130.73,130.09,130.38,723568.0
2023-11-14,130.43,131.72,130.34,131.62,1074849.0
2023-11-15,131.7,131.97,131.1,131.38,1060406.0
2023-11-16,131.38,132.03,131.3,131.95,950723.0
2023-11-17,131.84,132.49,131.64,131.78,862497.0
2023-11-20,131.72,131.74,131.21,131.42,692095.0
2023-11-21,131.63,132.15,131.53,132.01,802858.0
2023-11-22,131.96,132.46,131.62,131.97,898973.0
2023-11-23,132.01,132.11,131.25,131.32,672175.0
2023-11-24,131.28,131.37,130.85,131.06,560967.0
2023-11-27,131.09,132.18,130.9,132.07,687673.0
2023-11-28,132.02,132.72,131.85,132.68,856631.0
2023-11-29,132.75,133.54,132.7,133.46,1144117.0
