date,open,high,low,close,volume
2023-09-01,141.6,141.83,141.58,141.79,22125.0
2023-09-04,141.78,141.88,141.55,141.65,21924.0
2023-09-05,141.65,141.66,141.46,141.49,22039.0
2023-09-06,141.48,141.63,141.38,141.63,26461.0
2023-09-07,141.62,141.68,141.48,141.6,20335.0
2023-09-08,141.6,141.85,141.6,141.78,18808.0
2023-09-11,141.79,141.83,141.06,141.12,32139.0
2023-09-12,141.17,141.25,140.95,141.09,32319.0
2023-09-13,141.08,141.22,141.04,141.12,21284.0
2023-09-14,141.12,141.31,140.98,141.18,25441.0
2023-09-15,141.16,141.36,141.02,141.28,23836.0
2023-09-19,141.27,141.28,141.04,141.08,22461.0
2023-09-20,141.08,141.14,140.96,141.13,23577.0
2023-09-21,141.14,141.23,140.85,140.89,26250.0
2023-09-22,140.9,141.1,140.7,140.88,26740.0
2023-09-25,140.92,141.09,140.92,141.05,19227.0
2023-09-26,141.04,141.07,140.75,140.88,27457.0
2023-09-27,140.9,141.01,140.82,140.86,22382.0
2023-09-28,140.89,140.96,140.67,140.69,26050.0
2023-09-29,140.69,140.75,140.42,140.54,35475.0
2023-10-02,140.6,140.71,140.35,140.42,32854.0
2023-10-03,140.41,140.66,140.28,140.54,38539.0
2023-10-04,140.57,140.57,140.02,140.02,38232.0
2023-10-05,140.02,140.34,139.99,140.26,43407.0
2023-10-06,140.23,140.44,140.17,140.36,28896.0
2023-10-10,140.33,140.84,140.14,140.72,35627.0
2023-10-11,140.63,140.85,140.58,140.81,29695.0
2023-10-12,140.8,141.14,140.8,141.09,37842.0
2023-10-13,141.12,141.19,140.71,140.96,35845.0
2023-10-16,140.94,141.19,140.93,141.03,25701.0
2023-10-17,141.02,141.02,140.71,140.83,26307.0
2023-10-18,140.81,140.87,140.4,140.55,39812.0
2023-10-19,140.55,140.58,140.14,140.2,32870.0
2023-10-20,140.22,140.38,140.06,140.23,35253.0
2023-10-23,140.23,140.36,140.0,140.06,30349.0
2023-10-24,140.04,140.37,139.92,140.34,31101.0
2023-10-25,140.37,140.47,140.06,140.31,34585.0
2023-10-26,140.31,140.32,139.83,139.86,34946.0
2023-10-27,139.86,140.07,139.82,140.02,39343.0
2023-10-30,139.95,140.01,139.84,139.84,34613.0
2023-10-31,139.85,139.89,139.19,139.37,58759.0
2023-11-01,139.31,139.76,139.07,139.3,50126.0
2023-11-02,139.32,139.76,139.24,139.69,46083.0
2023-11-03,139.66,139.79,139.43,139.69,15416.0
2023-11-06,139.96,140.14,139.95,140.02,24530.0
2023-11-07,140.01,140.03,139.77,139.94,27617.0
2023-11-08,139.92,140.31,139.85,140.26,33172.0
2023-11-09,140.24,140.47,140.17,140.35,34648.0
2023-11-10,140.38,140.42,140.0,140.13,33250.0
2023-11-13,140.1,140.23,139.78,139.98,26104.0
2023-11-14,139.99,140.26,139.86,140.21,29852.0
2023-11-15,140.2,141.11,140.16,140.82,52905.0
2023-11-16,140.84,140.95,140.68,140.9,36161.0
2023-11-17,140.91,141.61,140.86,141.29,45220.0
2023-11-20,141.29,141.58,141.16,141.38,34202.0
2023-11-21,141.36,141.93,141.31,141.84,42797.0
2023-11-22,141.83,141.97,141.5,141.61,40820.0
2023-11-23,141.61,141.79,141.54,141.61,10273.0
2023-11-24,141.55,141.58,141.15,141.22,29675.0
2023-11-27,141.2,141.3,141.09,141.26,25895.0
2023-11-28,141.28,141.54,141.21,141.4,32476.0
2023-11-29,141.39,142.16,141.34,142.15,39114.0
2023-11-30,142.22,142.67,141.86,141.99,58249.0
2023-12-01,141.97,142.27,141.68,141.83,39071.0
2023-12-04,141.83,142.49,141.76,142.06,35886.0
2023-12-05,142.08,142.26,141.85,142.26,38048.0
2023-12-06,142.31,142.74,142.29,142.42,35600.0
2023-12-07,142.42,142.78,141.4,141.47,52666.0
2023-12-08,141.46,141.7,140.94,141.34,36474.0
2023-12-11,141.34,141.51,140.96,141.29,24005.0
2023-12-12,141.24,141.74,141.24,141.63,34991.0
2023-12-13,141.67,142.33,141.64,142.13,33554.0
2023-12-14,142.11,142.83,141.99,142.34,51541.0
2023-12-15,142.44,142.69,141.89,141.94,31029.0
2023-12-18,141.95,142.31,141.93,142.29,21085.0
