date,open,high,low,close,volume
2023-09-01,574.8,574.8,573.3,573.6,207.0
2023-09-04,577.9,577.9,575.4,575.6,37.0
2023-09-05,569.8,570.6,569.4,570.4,62.0
2023-09-06,567.9,569.2,567.2,567.2,131.0
2023-09-07,563.9,563.9,559.5,559.7,113.0
2023-09-08,561.4,561.4,561.1,561.3,16.0
2023-09-11,564.2,566.1,564.2,566.1,130.0
2023-09-12,565.9,566.1,565.9,566.1,15.0
2023-09-13,563.3,567.4,563.3,567.1,43.0
2023-09-14,569.2,570.4,569.2,570.4,6.0
2023-09-15,571.0,571.0,567.0,567.5,49.0
2023-09-18,566.9,567.3,564.7,564.9,40.0
2023-09-19,563.9,564.3,561.8,561.8,46.0
2023-09-20,560.8,564.4,555.8,564.4,134.0
2023-09-21,553.4,554.0,550.7,550.9,81.0
2023-09-22,555.5,558.1,555.5,557.4,47.0
2023-09-25,553.1,553.4,552.9,553.0,90.0
2023-09-26,548.3,548.8,546.7,546.7,283.0
2023-09-27,547.2,547.2,546.4,546.7,76.0
2023-09-28,543.9,546.3,543.3,546.1,166.0
2023-09-29,551.1,551.3,548.8,549.1,64.0
2023-10-02,551.2,551.2,544.6,545.0,105.0
2023-10-03,541.7,541.8,537.8,538.5,72.0
2023-10-04,532.3,536.4,532.3,535.9,26.0
2023-10-05,535.3,535.6,533.7,534.1,58.0
2023-10-06,539.4,544.2,538.6,543.3,98.0
2023-10-09,539.4,541.0,537.6,538.5,213.0
2023-10-10,542.3,550.5,542.0,550.0,59.0
2023-10-11,552.1,553.4,551.5,553.3,33.0
2023-10-12,556.9,556.9,549.4,549.4,21.0
2023-10-13,549.0,549.1,545.2,545.2,88.0
2023-10-16,549.5,549.5,549.1,549.1,23.0
2023-10-17,547.6,548.9,547.6,548.3,86.0
2023-10-18,546.9,546.9,539.4,539.8,83.0
2023-10-19,536.7,539.2,535.8,537.3,267.0
2023-10-20,529.7,529.9,529.7,529.9,13.0
2023-10-23,528.2,529.2,524.7,528.9,105.0
2023-10-24,528.8,535.1,528.8,535.0,41.0
2023-10-25,532.3,533.2,528.8,530.8,192.0
2023-10-26,522.0,524.9,522.0,524.4,7.0
2023-10-27,527.4,530.7,527.4,527.5,41.0
2023-10-30,528.8,529.7,528.4,529.2,33.0
2023-10-31,525.1,525.1,522.6,522.6,100.0
2023-11-01,525.1,528.5,525.1,528.5,41.0
2023-11-02,534.5,540.8,534.4,539.7,47.0
2023-11-03,545.0,552.9,544.6,552.9,47.0
2023-11-06,558.2,560.4,557.2,558.3,537.0
2023-11-07,554.0,555.4,553.2,554.8,144.0
2023-11-08,552.7,552.7,552.2,552.2,31.0
2023-11-09,551.3,551.8,549.9,551.7,32.0
2023-11-10,544.5,547.5,544.5,547.5,10.0
2023-11-13,547.1,551.1,547.1,550.8,303.0
2023-11-14,549.1,563.1,549.1,563.1,211.0
2023-11-15,564.7,572.1,564.2,572.1,229.0
2023-11-16,565.5,566.1,561.5,561.5,58.0
2023-11-17,561.3,563.3,561.1,563.3,64.0
2023-11-20,565.7,569.9,565.7,569.9,18.0
2023-11-21,571.4,571.4,566.5,566.9,19.0
2023-11-22,565.1,567.3,564.3,565.0,36.0
2023-11-23,569.3,569.3,567.6,567.9,27.0
2023-11-24,564.9,565.3,562.9,565.3,53.0
2023-11-27,563.1,563.1,562.2,562.4,24.0
2023-11-28,564.7,568.7,563.8,568.0,55.0
2023-11-29,565.3,565.4,564.7,564.9,51.0
2023-11-30,564.8,565.8,564.4,565.5,101.0
2023-12-01,562.7,565.8,561.5,565.1,157.0
2023-12-04,564.9,564.9,560.8,561.5,88.0
2023-12-05,558.4,558.8,556.1,556.7,110.0
2023-12-06,560.2,560.4,559.7,560.4,65.0
2023-12-07,559.5,559.6,558.5,558.5,42.0
2023-12-08,558.5,558.5,556.5,557.1,52.0
2023-12-11,554.4,560.2,554.4,560.2,117.0
2023-12-12,560.8,561.9,556.6,559.3,75.0
2023-12-13,556.9,556.9,556.2,556.3,49.0
2023-12-14,569.2,574.9,569.2,574.9,189.0
2023-12-15,576.5,576.5,573.5,575.8,101.0
2023-12-18,573.0,573.7,569.6,569.6,386.0
