date,open,high,low,close,volume
2023-09-01,2077.8,2097.5,2075.5,2085.2,48782.0
2023-09-05,2073.0,2075.8,2041.3,2042.0,46965.0
2023-09-06,2044.4,2056.0,2022.8,2034.0,45923.0
2023-09-07,2022.6,2025.4,2005.6,2015.2,39931.0
2023-09-08,2016.1,2019.0,2003.9,2009.7,31293.0
2023-09-11,2023.6,2028.6,2012.2,2014.9,9418.0
2023-09-12,2010.1,2024.1,2006.7,2012.6,10336.0
2023-09-13,2015.5,2019.9,1991.8,1998.7,37231.0
2023-09-14,2014.6,2031.7,2011.9,2026.8,46244.0
2023-09-15,2017.4,2020.9,1995.0,2003.8,37756.0
2023-09-18,2005.0,2005.5,1990.7,1991.0,30211.0
2023-09-19,1991.7,2000.4,1975.6,1982.8,36412.0
2023-09-20,1990.0,2002.4,1959.9,1962.1,46132.0
2023-09-21,1946.5,1949.2,1929.1,1931.6,43926.0
2023-09-22,1935.7,1944.6,1925.1,1926.0,40294.0
2023-09-25,1915.1,1938.9,1913.2,1934.8,33978.0
2023-09-26,1922.0,1938.2,1908.4,1910.1,46742.0
2023-09-27,1920.7,1936.8,1909.7,1926.3,62182.0
2023-09-28,1926.7,1954.0,1925.2,1943.6,50276.0
2023-09-29,1957.9,1959.6,1926.7,1932.3,56778.0
2023-10-02,1928.1,1932.7,1894.0,1903.1,49401.0
2023-10-03,1891.6,1897.7,1863.4,1871.4,62842.0
2023-10-04,1869.6,1876.5,1848.6,1872.6,62106.0
2023-10-05,1866.8,1878.9,1857.2,1873.2,54767.0
2023-10-06,1861.9,1900.6,1852.2,1890.5,67217.0
2023-10-09,1877.4,1907.7,1876.5,1901.9,33115.0
2023-10-10,1904.6,1934.9,1904.6,1923.1,41036.0
2023-10-11,1924.6,1936.7,1905.0,1918.8,51568.0
2023-10-12,1920.7,1920.8,1864.4,1876.0,61313.0
2023-10-13,1881.7,1885.8,1852.5,1858.5,65584.0
2023-10-16,1874.7,1893.2,1867.0,1888.7,45438.0
2023-10-17,1876.9,1926.2,1876.7,1910.3,60895.0
2023-10-18,1895.2,1895.4,1866.2,1869.6,61051.0
2023-10-19,1863.6,1878.1,1836.3,1840.0,89905.0
2023-10-20,1838.8,1841.9,1813.5,1815.4,68706.0
2023-10-23,1806.3,1826.1,1795.1,1800.7,64906.0
2023-10-24,1814.9,1827.7,1803.3,1814.5,58688.0
2023-10-25,1798.8,1805.8,1781.1,1784.4,71140.0
2023-10-26,1788.9,1806.2,1777.8,1788.3,73922.0
2023-10-27,1792.0,1795.6,1760.8,1767.4,69078.0
2023-10-30,1783.9,1795.0,1763.8,1776.5,63485.0
2023-10-31,1779.2,1796.9,1773.0,1792.4,53957.0
2023-11-01,1790.5,1803.0,1775.4,1801.0,85544.0
2023-11-02,1825.2,1851.4,1820.8,1848.6,54751.0
2023-11-03,1880.7,1911.8,1880.5,1899.1,60508.0
2023-11-06,1898.5,1901.8,1864.5,1875.4,45046.0
2023-11-07,1866.2,1876.8,1855.5,1869.5,50693.0
2023-11-08,1867.3,1872.3,1841.3,1848.1,59266.0
2023-11-09,1859.1,1859.6,1815.3,1818.8,71840.0
2023-11-10,1828.5,1844.8,1813.0,1838.8,57858.0
2023-11-13,1828.4,1845.2,1820.5,1838.8,42159.0
2023-11-14,1893.8,1942.4,1893.7,1939.4,69176.0
2023-11-15,1938.6,1975.2,1935.2,1943.0,69998.0
2023-11-16,1934.8,1940.3,1902.1,1911.7,65107.0
2023-11-17,1926.7,1940.3,1923.1,1936.4,50854.0
2023-11-20,1938.5,1950.8,1929.4,1946.8,44935.0
2023-11-21,1934.7,1938.0,1917.4,1921.7,42567.0
2023-11-22,1933.0,1946.4,1924.8,1932.7,58446.0
2023-11-24,1931.5,1949.9,1928.8,1944.6,19348.0
2023-11-27,1936.2,1943.1,1921.9,1939.6,37664.0
2023-11-28,1936.5,1943.9,1921.6,1932.4,56151.0
2023-11-29,1946.5,1970.9,1937.6,1940.1,57892.0
2023-11-30,1951.5,1957.7,1937.1,1945.4,58566.0
2023-12-01,1942.0,2008.3,1930.8,2006.9,87075.0
2023-12-04,1996.5,2026.4,1994.0,2024.1,73617.0
2023-12-05,2015.8,2015.8,1993.2,1998.0,68956.0
2023-12-06,2011.5,2036.1,1990.9,1993.6,68855.0
2023-12-07,1995.8,2009.9,1985.6,2007.7,56796.0
2023-12-08,2004.7,2032.7,2001.4,2020.1,47168.0
2023-12-11,2020.7,2030.8,2012.2,2026.9,13216.0
2023-12-12,2022.7,2031.5,2005.7,2025.3,9208.0
