date,open,high,low,close,volume
2023-09-01,6480.0,6480.0,6480.0,6480.0,0.0
2023-09-04,6612.0,6736.0,6586.0,6706.0,8108.0
2023-09-05,6666.0,6672.0,6539.0,6553.0,7173.0
2023-09-06,6541.0,6582.0,6478.0,6570.0,6332.0
2023-09-07,6583.0,6594.0,6466.0,6469.0,5627.0
2023-09-08,6469.0,6469.0,6469.0,6469.0,0.0
2023-09-11,6395.0,6506.0,6361.0,6476.0,7136.0
2023-09-12,6453.0,6495.0,6390.0,6459.0,5188.0
2023-09-13,6477.0,6499.0,6397.0,6425.0,5150.0
2023-09-14,6447.0,6484.0,6388.0,6452.0,6323.0
2023-09-15,6504.0,6566.0,6439.0,6484.0,8465.0
2023-09-18,6446.0,6464.0,6369.0,6377.0,5973.0
2023-09-19,6395.0,6420.0,6339.0,6410.0,4701.0
2023-09-20,6383.0,6406.0,6338.0,6368.0,4889.0
2023-09-21,6346.0,6346.0,6248.0,6268.0,5350.0
2023-09-22,6211.0,6459.0,6209.0,6450.0,7884.0
2023-09-25,6425.0,6432.0,6279.0,6285.0,4923.0
2023-09-26,6287.0,6292.0,6166.0,6215.0,5774.0
2023-09-27,6205.0,6285.0,6199.0,6238.0,4281.0
2023-09-28,6223.0,6245.0,6140.0,6141.0,4934.0
2023-09-29,6181.0,6363.0,6176.0,6325.0,6341.0
2023-10-03,6251.0,6256.0,6064.0,6092.0,6326.0
2023-10-04,6074.0,6093.0,6003.0,6044.0,4283.0
2023-10-05,6051.0,6088.0,6032.0,6038.0,3802.0
2023-10-06,6073.0,6187.0,6073.0,6131.0,5156.0
2023-10-09,6142.0,6196.0,6118.0,6157.0,3483.0
2023-10-10,6213.0,6309.0,6196.0,6274.0,6542.0
2023-10-11,6333.0,6345.0,6284.0,6292.0,5557.0
2023-10-12,6395.0,6478.0,6392.0,6435.0,5898.0
2023-10-13,6306.0,6348.0,6254.0,6259.0,5553.0
2023-10-16,6256.0,6292.0,6185.0,6203.0,4596.0
2023-10-17,6280.0,6282.0,6203.0,6245.0,4378.0
2023-10-18,6231.0,6281.0,6195.0,6225.0,4992.0
2023-10-19,6146.0,6160.0,6048.0,6066.0,4990.0
2023-10-20,6035.0,6081.0,5980.0,6013.0,5879.0
2023-10-24,5958.0,5998.0,5901.0,5929.0,6244.0
2023-10-25,6141.0,6172.0,5961.0,6014.0,7184.0
2023-10-26,5987.0,6042.0,5944.0,5995.0,5941.0
2023-10-27,6030.0,6160.0,6004.0,6120.0,6237.0
2023-10-30,6056.0,6101.0,6033.0,6060.0,1470.0
2023-10-31,6031.0,6047.0,5918.0,5952.0,5576.0
2023-11-01,5963.0,5983.0,5897.0,5937.0,5300.0
2023-11-02,6003.0,6087.0,5977.0,6016.0,6467.0
2023-11-03,6073.0,6167.0,6042.0,6136.0,6455.0
2023-11-06,6222.0,6296.0,6216.0,6277.0,5704.0
2023-11-07,6218.0,6248.0,6162.0,6177.0,5111.0
2023-11-08,6167.0,6204.0,6113.0,6134.0,5391.0
2023-11-09,6141.0,6153.0,6082.0,6097.0,4756.0
2023-11-10,6052.0,6052.0,5968.0,5974.0,4441.0
2023-11-13,6023.0,6081.0,5946.0,6076.0,5709.0
2023-11-14,6100.0,6112.0,6030.0,6037.0,4766.0
2023-11-15,6213.0,6300.0,6161.0,6291.0,8264.0
2023-11-16,6356.0,6356.0,6153.0,6188.0,8344.0
2023-11-17,6096.0,6125.0,6030.0,6054.0,4552.0
2023-11-20,6138.0,6185.0,6090.0,6163.0,5327.0
2023-11-21,6260.0,6297.0,6136.0,6143.0,6560.0
2023-11-22,6119.0,6181.0,6117.0,6145.0,4728.0
2023-11-23,6124.0,6253.0,6108.0,6239.0,5708.0
2023-11-24,6213.0,6213.0,6101.0,6114.0,4502.0
2023-11-27,6142.0,6164.0,6021.0,6104.0,4451.0
2023-11-28,6081.0,6096.0,6000.0,6012.0,4410.0
2023-11-29,6027.0,6041.0,5843.0,5870.0,6767.0
2023-11-30,5881.0,5926.0,5844.0,5891.0,5817.0
2023-12-01,5904.0,5914.0,5807.0,5815.0,5672.0
2023-12-04,5819.0,5880.0,5745.0,5766.0,4974.0
2023-12-05,5756.0,5768.0,5617.0,5653.0,6001.0
2023-12-06,5685.0,5756.0,5621.0,5712.0,5347.0
2023-12-07,5683.0,5685.0,5590.0,5660.0,5124.0
2023-12-08,5676.0,5695.0,5603.0,5635.0,4782.0
2023-12-11,5597.0,5603.0,5476.0,5562.0,6566.0
2023-12-12,5606.0,5676.0,5562.0,5655.0,5455.0
2023-12-13,5637.0,5646.0,5555.0,5590.0,3813.0
2023-12-14,5607.0,5699.0,5580.0,5628.0,6012.0
2023-12-15,5719.0,5823.0,5693.0,5738.0,7802.0
2023-12-18,5704.0,5711.0,5647.0,5658.0,4421.0
2023-12-19,5621.0,5658.0,5590.0,5633.0,4237.0
2023-12-20,5700.0,5708.0,5630.0,5650.0,4523.0
2023-12-21,5577.0,5666.0,5563.0,5647.0,4375.0
2023-12-22,5693.0,5735.0,5495.0,5523.0,8639.0
2023-12-27,5609.0,5657.0,5559.0,5640.0,5416.0
2023-12-28,5664.0,5815.0,5625.0,5790.0,6064.0
2023-12-29,5778.0,5815.0,5749.0,5787.0,3934.0
2024-01-02,5804.0,5841.0,5665.0,5692.0,6000.0
2024-01-03,5629.0,5652.0,5602.0,5633.0,4268.0
2024-01-04,5664.0,5672.0,5607.0,5652.0,4765.0
2024-01-05,5627.0,5704.0,5579.0,5618.0,5595.0
2024-01-08,5604.0,5630.0,5458.0,5476.0,5366.0
2024-01-09,5508.0,5546.0,5451.0,5451.0,5276.0
2024-01-10,5437.0,5488.0,5401.0,5431.0,4742.0
2024-01-11,5433.0,5553.0,5412.0,5501.0,5782.0
2024-01-12,5472.0,5544.0,5447.0,5485.0,4603.0
2024-01-15,5483.0,5503.0,5417.0,5450.0,5469.0
2024-01-16,5397.0,5456.0,5326.0,5351.0,7016.0
2024-01-17,5294.0,5309.0,5096.0,5114.0,7539.0
2024-01-18,5154.0,5193.0,5101.0,5156.0,7530.0
2024-01-19,5170.0,5207.0,5085.0,5121.0,6794.0
2024-01-22,5184.0,5184.0,4935.0,5002.0,8581.0
2024-01-23,5051.0,5211.0,5007.0,5122.0,12003.0
2024-01-24,5254.0,5385.0,5163.0,5357.0,12174.0
2024-01-25,5393.0,5475.0,5307.0,5453.0,9562.0
2024-01-26,5408.0,5453.0,5339.0,5351.0,7443.0
2024-01-29,5400.0,5472.0,5380.0,5397.0,6518.0
2024-01-30,5330.0,5351.0,5254.0,5267.0,6555.0
2024-01-31,5261.0,5285.0,5160.0,5179.0,7530.0
2024-02-01,5242.0,5307.0,5162.0,5214.0,9896.0
2024-02-02,5267.0,5346.0,5166.0,5205.0,9999.0
2024-02-05,5153.0,5277.0,5112.0,5210.0,10205.0
2024-02-06,5232.0,5479.0,5215.0,5462.0,10239.0
2024-02-07,5514.0,5550.0,5393.0,5395.0,8193.0
2024-02-08,5385.0,5427.0,5322.0,5338.0,5925.0
2024-02-09,5291.0,5299.0,5209.0,5276.0,3604.0
2024-02-14,5291.0,5386.0,5186.0,5379.0,6024.0
2024-02-15,5382.0,5418.0,5309.0,5397.0,5009.0
2024-02-16,5420.0,5567.0,5381.0,5539.0,7395.0
2024-02-19,5544.0,5551.0,5447.0,5460.0,5973.0
2024-02-20,5465.0,5539.0,5418.0,5494.0,6869.0
2024-02-21,5457.0,5721.0,5454.0,5619.0,11225.0
2024-02-22,5622.0,5750.0,5590.0,5749.0,7372.0
2024-02-23,5701.0,5810.0,5686.0,5735.0,5652.0
2024-02-26,5703.0,5766.0,5683.0,5697.0,4709.0
2024-02-27,5723.0,5794.0,5638.0,5783.0,5936.0
2024-02-28,5793.0,5805.0,5639.0,5641.0,7376.0
2024-02-29,5612.0,5703.0,5592.0,5624.0,7782.0
2024-03-01,5582.0,5707.0,5509.0,5686.0,8487.0
2024-03-04,5695.0,5715.0,5622.0,5663.0,5710.0
2024-03-05,5577.0,5618.0,5494.0,5510.0,8396.0
2024-03-06,5509.0,5680.0,5508.0,5633.0,9136.0
2024-03-07,5643.0,5689.0,5532.0,5566.0,7032.0
2024-03-08,5588.0,5669.0,5573.0,5605.0,6906.0
2024-03-11,5625.0,5721.0,5625.0,5708.0,5947.0
2024-03-12,5754.0,5930.0,5717.0,5908.0,10477.0
2024-03-13,5878.0,5943.0,5868.0,5885.0,6618.0
2024-03-14,5891.0,5948.0,5821.0,5853.0,6319.0
2024-03-15,5786.0,5809.0,5697.0,5764.0,6146.0
2024-03-18,5758.0,5820.0,5731.0,5800.0,5877.0
2024-03-19,5757.0,5785.0,5702.0,5733.0,6237.0
2024-03-20,5762.0,5793.0,5684.0,5757.0,5845.0
2024-03-21,5808.0,5910.0,5807.0,5842.0,6485.0
2024-03-22,5800.0,5810.0,5640.0,5702.0,8456.0
2024-03-25,5710.0,5761.0,5689.0,5703.0,5703.0
2024-03-26,5716.0,5826.0,5709.0,5785.0,6899.0
2024-03-27,5765.0,5765.0,5656.0,5665.0,6712.0
