date,open,high,low,close,volume
2023-09-01,2189.0,2192.8,2173.2,2180.3,22036.0
2023-09-05,2170.5,2171.7,2162.0,2163.0,11671.0
2023-09-06,2157.7,2166.3,2150.2,2152.2,20682.0
2023-09-07,2156.8,2157.7,2151.8,2154.5,11446.0
2023-09-08,2157.0,2165.7,2151.1,2153.1,19094.0
2023-09-11,2164.3,2165.5,2155.2,2156.5,11717.0
2023-09-12,2140.6,2147.8,2140.0,2145.9,13141.0
2023-09-13,2145.9,2148.5,2139.6,2139.8,11794.0
2023-09-14,2132.1,2143.4,2130.1,2141.8,20619.0
2023-09-15,2157.2,2163.9,2154.5,2156.0,22523.0
2023-09-18,2160.3,2167.8,2154.5,2167.2,14141.0
2023-09-19,2168.3,2169.9,2162.3,2164.0,12416.0
2023-09-20,2166.0,2182.3,2161.4,2162.5,35352.0
2023-09-21,2146.8,2154.6,2144.4,2150.2,18657.0
2023-09-22,2156.8,2160.4,2154.7,2155.6,13370.0
2023-09-25,2153.1,2156.8,2143.7,2144.8,17514.0
2023-09-26,2133.3,2137.1,2125.0,2126.7,18422.0
2023-09-27,2114.0,2114.6,2095.2,2098.5,28650.0
2023-09-28,2096.8,2099.5,2077.6,2085.7,33476.0
2023-09-29,2096.4,2097.8,2064.0,2066.9,38800.0
2023-10-02,2051.6,2054.9,2042.5,2044.0,23082.0
2023-10-03,2038.1,2049.6,2033.3,2038.1,29753.0
2023-10-04,2039.0,2041.3,2030.0,2035.9,20458.0
2023-10-05,2031.8,2034.6,2026.0,2033.0,17190.0
2023-10-06,2036.7,2049.7,2028.2,2046.8,29027.0
2023-10-09,2060.2,2080.6,2059.1,2078.3,18881.0
2023-10-10,2071.1,2079.6,2068.7,2077.0,17627.0
2023-10-11,2089.5,2095.8,2085.3,2092.3,20572.0
2023-10-12,2094.3,2096.2,2084.2,2085.4,20407.0
2023-10-13,2128.7,2157.2,2126.4,2156.9,44452.0
2023-10-16,2139.1,2145.6,2135.6,2142.5,16624.0
2023-10-17,2145.6,2155.1,2141.2,2145.5,22804.0
2023-10-18,2176.1,2189.7,2162.0,2172.7,44419.0
2023-10-19,2176.6,2205.9,2174.0,2201.9,50030.0
2023-10-20,2205.4,2226.9,2201.0,2209.1,58238.0
2023-10-23,2205.8,2206.7,2196.0,2199.1,29974.0
2023-10-24,2188.3,2204.4,2183.6,2196.9,29023.0
2023-10-25,2204.4,2215.2,2187.6,2206.7,59088.0
2023-10-26,2202.8,2216.3,2196.4,2211.1,28154.0
2023-10-27,2207.3,2238.6,2204.0,2234.9,43289.0
2023-10-30,2228.5,2230.3,2218.4,2223.3,25410.0
2023-10-31,2222.4,2236.1,2202.8,2208.8,41545.0
2023-11-01,2208.1,2221.7,2192.4,2207.2,41543.0
2023-11-02,2209.7,2211.1,2201.6,2209.4,23732.0
2023-11-03,2213.0,2225.3,2211.4,2216.6,37327.0
2023-11-06,2208.4,2209.8,2199.3,2199.9,17132.0
2023-11-07,2186.0,2190.8,2179.6,2189.6,17596.0
2023-11-08,2182.2,2182.9,2165.0,2168.4,24875.0
2023-11-09,2169.0,2184.9,2167.9,2176.6,26292.0
2023-11-10,2162.8,2163.5,2146.8,2153.4,26276.0
2023-11-13,2148.7,2165.2,2145.3,2161.6,19993.0
2023-11-14,2176.8,2189.4,2175.9,2180.3,20281.0
2023-11-15,2180.2,2181.8,2171.0,2176.0,16672.0
2023-11-16,2189.0,2206.8,2188.7,2199.2,26595.0
2023-11-17,2202.0,2204.2,2195.7,2198.2,14852.0
2023-11-20,2181.4,2196.2,2180.4,2194.8,16819.0
2023-11-21,2220.6,2227.7,2214.6,2216.7,24568.0
2023-11-22,2218.5,2222.0,2204.1,2207.4,20335.0
2023-11-24,2218.5,2221.7,2214.4,2220.9,10716.0
2023-11-27,2230.7,2233.8,2223.4,2232.7,16879.0
2023-11-28,2247.7,2265.7,2242.4,2263.2,17739.0
2023-11-29,2263.0,2272.9,2261.4,2266.6,968.0
2023-11-30,2255.5,2262.1,2254.5,2257.6,101.0
2023-12-01,2266.2,2300.4,2266.2,2296.0,88.0
2023-12-04,2268.0,2275.9,2240.8,2250.2,38.0
