date,open,high,low,close,volume
2023-09-01,141.86,141.86,141.86,141.86,0.0
2023-09-04,141.65,141.715,141.65,141.715,40.0
2023-09-05,141.59,141.61,141.54,141.56,31.0
2023-09-06,141.485,141.695,141.485,141.695,38.0
2023-09-07,141.695,141.695,141.65,141.65,2.0
2023-09-08,141.795,141.84,141.795,141.83,5.0
2023-09-11,140.145,141.21,140.145,141.175,12.0
2023-09-12,140.385,141.165,140.385,141.145,26.0
2023-09-13,141.145,141.26,141.145,141.175,31.0
2023-09-14,141.19,141.33,141.19,141.23,8.0
2023-09-15,141.23,141.405,141.23,141.33,26.0
2023-09-19,141.23,141.23,141.135,141.135,4.0
2023-09-20,141.115,141.185,141.065,141.185,8.0
2023-09-21,140.96,140.98,140.92,140.94,7.0
2023-09-22,140.87,140.98,140.87,140.93,6.0
2023-09-25,141.0,141.105,140.99,141.105,11.0
2023-09-26,140.92,140.93,140.92,140.93,1.0
2023-09-27,140.91,140.91,140.91,140.91,0.0
2023-09-28,140.805,140.805,140.725,140.735,11.0
2023-09-29,140.6,140.6,140.59,140.59,2.0
2023-10-02,140.485,140.495,140.425,140.475,31.0
2023-10-03,140.395,140.59,140.395,140.59,14.0
2023-10-04,140.385,140.385,140.065,140.065,10.0
2023-10-05,140.145,140.37,140.145,140.31,12.0
2023-10-06,140.395,140.475,140.395,140.405,19.0
2023-10-10,140.715,140.87,140.715,140.775,12.0
2023-10-11,140.825,140.89,140.825,140.865,16.0
2023-10-12,141.115,141.175,141.085,141.145,12.0
2023-10-13,140.825,141.01,140.825,141.01,3.0
2023-10-16,141.105,141.105,141.085,141.085,3.0
2023-10-17,140.805,140.88,140.805,140.88,6.0
2023-10-18,140.58,140.6,140.475,140.6,15.0
2023-10-19,140.35,140.35,140.25,140.25,2.0
2023-10-20,140.22,140.405,140.22,140.28,4.0
2023-10-23,140.125,140.135,140.065,140.105,14.0
2023-10-24,140.03,140.405,139.575,140.385,46.0
2023-10-25,140.33,140.36,140.145,140.36,9.0
2023-10-26,140.32,140.32,139.91,139.91,22.0
2023-10-27,139.93,140.085,139.69,140.065,17.0
2023-10-30,139.9,139.93,139.895,139.895,8.0
2023-10-31,139.845,139.845,139.27,139.415,17.0
2023-11-01,139.59,139.59,139.155,139.35,15.0
2023-11-02,139.27,139.785,139.27,139.74,27.0
2023-11-03,139.7,139.74,139.7,139.74,5.0
2023-11-06,139.95,140.165,139.95,140.065,15.0
2023-11-07,139.94,139.99,139.94,139.99,24.0
2023-11-08,140.165,140.34,140.165,140.31,17.0
2023-11-09,140.34,140.515,140.34,140.395,27.0
2023-11-10,140.405,140.405,140.05,140.185,5.0
