date,open,high,low,close,volume
2023-09-01,95.2,95.74,94.66,94.95,138628.0
2023-09-04,94.67,94.76,94.23,94.35,87818.0
2023-09-05,94.19,94.5,93.6,93.88,188834.0
2023-09-06,93.6,94.0,93.31,93.58,154656.0
2023-09-07,93.77,94.47,93.73,94.17,155244.0
2023-09-08,94.74,94.9,94.35,94.83,116014.0
2023-09-11,94.43,94.57,94.0,94.13,126364.0
2023-09-12,94.23,94.92,94.22,94.73,142542.0
2023-09-13,94.84,95.63,94.54,95.43,199531.0
2023-09-14,95.59,96.44,95.32,96.22,188215.0
2023-09-15,95.99,96.03,95.21,95.32,140991.0
2023-09-18,95.13,95.18,94.59,94.84,134206.0
2023-09-19,94.96,95.55,94.89,95.4,189765.0
2023-09-20,96.05,96.66,95.94,96.43,166374.0
2023-09-21,96.22,96.43,95.1,95.82,215165.0
2023-09-22,95.66,96.32,95.6,96.02,161857.0
2023-09-25,95.95,96.0,94.93,95.19,161345.0
2023-09-26,94.88,95.62,94.77,95.09,191568.0
2023-09-27,95.25,95.58,94.55,94.85,172126.0
2023-09-28,94.69,94.69,92.66,92.83,278274.0
2023-09-29,93.8,94.32,93.57,94.11,252837.0
2023-10-02,93.63,93.66,92.49,92.73,181013.0
2023-10-03,92.75,93.13,92.11,92.33,210068.0
2023-10-04,91.5,92.49,91.45,92.12,213341.0
2023-10-05,92.25,92.98,91.89,92.77,155269.0
2023-10-06,92.71,92.81,91.85,92.22,149754.0
2023-10-09,92.72,93.53,92.5,93.27,128943.0
2023-10-10,93.43,94.12,92.99,93.84,163814.0
2023-10-11,93.95,95.21,93.9,95.1,248318.0
2023-10-12,95.54,95.61,94.06,94.24,177556.0
2023-10-13,94.3,95.0,94.16,94.39,123937.0
2023-10-16,94.22,94.23,93.44,93.55,145738.0
2023-10-17,93.37,93.86,92.76,93.06,200706.0
2023-10-18,92.92,92.93,91.73,91.8,165943.0
2023-10-19,91.27,91.87,91.14,91.49,173747.0
2023-10-20,91.85,91.85,91.13,91.73,150556.0
2023-10-23,91.32,92.36,90.8,92.04,170436.0
2023-10-24,92.74,93.29,92.39,92.65,164782.0
2023-10-25,92.89,93.03,91.96,92.19,166848.0
2023-10-26,91.71,92.61,91.57,92.27,143457.0
2023-10-27,92.46,92.89,92.28,92.84,118447.0
2023-10-30,93.08,93.25,92.16,92.59,151759.0
2023-10-31,93.16,93.73,93.04,93.11,192608.0
2023-11-01,92.67,93.74,92.58,93.39,164777.0
2023-11-02,93.45,95.03,93.39,94.35,212994.0
2023-11-03,94.37,95.57,94.16,95.27,194283.0
2023-11-06,94.98,95.1,94.35,94.53,137000.0
2023-11-07,94.51,95.53,94.42,95.42,208768.0
2023-11-08,95.41,95.99,95.37,95.84,172311.0
2023-11-09,95.99,96.09,95.29,95.52,141529.0
2023-11-10,95.27,95.27,94.65,95.04,131607.0
2023-11-13,94.94,95.22,94.53,94.94,115873.0
2023-11-14,95.05,96.87,94.82,96.7,184811.0
2023-11-15,96.92,97.07,95.88,96.22,267691.0
2023-11-16,96.34,97.21,96.29,97.08,171420.0
2023-11-17,97.19,97.94,96.97,97.14,170216.0
2023-11-20,97.06,97.23,96.62,96.98,132745.0
2023-11-21,97.26,97.53,96.78,97.27,159800.0
2023-11-22,96.88,97.74,96.43,96.64,225024.0
2023-11-23,96.55,96.91,95.71,95.92,154463.0
2023-11-24,95.61,95.66,95.02,95.35,127276.0
2023-11-27,95.72,96.26,95.34,96.13,128298.0
2023-11-28,96.42,96.77,95.84,96.65,70094.0
2023-11-29,96.96,97.7,96.69,97.34,210028.0
2023-11-30,97.38,97.45,95.88,96.46,258655.0
2023-12-01,96.22,96.82,96.03,96.61,189668.0
2023-12-04,96.66,96.74,96.06,96.36,159531.0
2023-12-05,96.73,98.09,96.45,97.98,205592.0
2023-12-06,97.87,98.74,97.43,98.56,223527.0
2023-12-07,98.12,98.55,97.96,98.42,158823.0
2023-12-08,98.23,98.28,97.2,97.95,168094.0
2023-12-11,97.65,97.81,97.16,97.29,136407.0
2023-12-12,98.06,98.71,98.06,98.5,194318.0
2023-12-13,98.79,99.97,98.7,99.84,194006.0
2023-12-14,101.09,101.46,100.0,100.23,252712.0
2023-12-15,100.15,101.34,100.03,100.95,184679.0
2023-12-18,100.97,101.64,100.7,101.07,117329.0
2023-12-19,101.48,101.81,101.15,101.71,159803.0
2023-12-20,102.67,102.84,102.26,102.54,135366.0
2023-12-21,102.75,103.16,102.26,102.73,159069.0
2023-12-22,102.89,103.07,102.56,103.03,39021.0
2023-12-27,103.16,103.7,102.92,103.53,83621.0
2023-12-28,103.66,103.68,102.83,103.14,81577.0
2023-12-29,103.09,103.09,102.02,102.41,72219.0
2024-01-02,101.76,101.9,100.85,101.47,185559.0
2024-01-03,101.14,101.74,101.0,101.17,178574.0
2024-01-04,101.4,101.69,100.41,100.78,231765.0
2024-01-05,100.48,100.58,99.37,100.43,199469.0
2024-01-08,99.78,100.32,99.53,100.22,154684.0
2024-01-09,99.85,100.46,99.61,100.16,236258.0
2024-01-10,100.15,100.39,99.78,100.01,149666.0
2024-01-11,100.14,100.24,99.48,99.57,170630.0
2024-01-12,99.88,100.37,99.63,99.92,165887.0
