date,open,high,low,close,volume
2023-09-01,141.47,141.61,141.44,141.59,619.0
2023-09-02,141.61,141.65,141.42,141.45,472.0
2023-09-04,141.45,141.45,141.34,141.37,436.0
2023-09-05,141.34,141.37,141.27,141.31,3294.0
2023-09-06,141.27,141.46,141.18,141.38,6916.0
2023-09-07,141.39,141.46,141.29,141.46,7082.0
2023-09-08,141.46,141.6,141.41,141.51,3785.0
2023-09-09,141.51,141.61,141.49,141.51,1454.0
2023-09-11,141.46,141.46,140.84,140.98,2423.0
2023-09-12,141.01,141.02,140.72,140.9,1800.0
2023-09-13,140.91,141.0,140.82,140.89,598.0
2023-09-14,140.88,141.07,140.78,140.88,1122.0
2023-09-15,140.89,141.13,140.82,140.96,1743.0
2023-09-16,140.98,140.98,140.88,140.89,374.0
2023-09-18,141.01,141.01,140.74,140.77,69.0
2023-09-19,140.76,140.99,140.73,140.89,684.0
2023-09-20,140.92,140.93,140.74,140.91,617.0
2023-09-21,140.92,140.99,140.64,140.64,617.0
2023-09-22,140.63,141.14,140.48,140.77,2026.0
2023-09-23,140.75,140.84,140.7,140.78,209.0
2023-09-25,140.77,140.86,140.69,140.79,1114.0
2023-09-26,140.77,140.77,140.56,140.69,2236.0
2023-09-27,140.69,140.79,140.63,140.71,882.0
2023-09-28,140.72,140.74,140.37,140.37,876.0
2023-09-29,140.35,140.53,140.22,140.38,820.0
2023-09-30,140.4,140.49,140.35,140.36,350.0
2023-10-02,140.38,140.38,140.12,140.23,521.0
2023-10-03,140.22,140.41,140.06,140.24,1693.0
2023-10-04,140.22,140.26,139.77,139.96,2221.0
2023-10-05,139.93,140.16,139.9,140.01,1460.0
2023-10-06,140.04,140.22,140.0,140.17,841.0
2023-10-07,140.18,140.23,139.96,140.06,220.0
2023-10-09,140.24,140.55,140.24,140.37,121.0
2023-10-10,140.44,140.65,140.28,140.41,756.0
2023-10-11,140.4,140.89,140.38,140.85,938.0
2023-10-12,140.81,140.96,140.72,140.93,1838.0
2023-10-13,140.89,140.95,140.51,140.78,2116.0
2023-10-14,140.81,140.99,140.8,140.97,801.0
2023-10-16,140.93,140.93,140.74,140.77,437.0
2023-10-17,140.77,140.77,140.49,140.5,1103.0
2023-10-18,140.48,140.52,140.21,140.25,1739.0
2023-10-19,140.26,140.36,139.9,139.92,857.0
2023-10-20,139.93,140.15,139.86,139.99,1829.0
2023-10-21,139.99,140.1,139.92,140.03,227.0
2023-10-23,139.99,139.99,139.76,139.76,601.0
2023-10-24,139.75,140.25,139.72,140.04,2499.0
2023-10-25,140.01,140.08,139.85,139.95,797.0
2023-10-26,139.94,139.94,139.62,139.8,788.0
2023-10-27,139.75,139.85,139.66,139.69,319.0
2023-10-28,139.75,139.77,139.66,139.71,114.0
2023-10-30,139.71,139.75,139.61,139.61,624.0
2023-10-31,139.64,139.74,138.84,139.35,4009.0
2023-11-01,139.36,139.56,138.86,139.14,2223.0
2023-11-02,139.08,139.54,139.04,139.43,2107.0
2023-11-03,139.43,139.71,139.36,139.47,1707.0
2023-11-04,139.57,139.77,139.46,139.67,486.0
2023-11-06,139.62,139.91,139.59,139.74,743.0
2023-11-07,139.77,139.8,139.57,139.75,1078.0
2023-11-08,139.74,140.09,139.73,140.08,2093.0
2023-11-09,140.07,140.26,140.04,140.09,1821.0
2023-11-10,140.09,140.15,139.82,139.96,1643.0
2023-11-11,139.9,139.96,139.84,139.85,108.0
2023-11-13,139.89,139.89,139.58,139.73,641.0
2023-11-14,139.8,140.07,139.65,140.07,540.0
2023-11-15,140.08,140.91,140.02,140.68,2328.0
2023-11-16,140.66,140.79,140.48,140.73,1250.0
2023-11-17,140.69,141.41,140.69,141.38,1469.0
2023-11-18,141.34,141.38,140.99,140.99,693.0
2023-11-20,141.16,141.2,140.99,141.19,1221.0
2023-11-21,141.2,141.73,141.13,141.64,941.0
2023-11-22,141.64,141.71,141.32,141.44,5179.0
2023-11-23,141.43,141.6,141.35,141.39,430.0
2023-11-24,141.37,141.43,140.97,140.98,1282.0
2023-11-25,140.96,141.17,140.96,141.17,71.0
2023-11-27,141.1,141.12,140.92,141.05,566.0
2023-11-28,141.08,141.35,141.03,141.28,787.0
2023-11-29,141.21,142.14,141.19,142.1,2641.0
2023-11-30,142.05,142.49,141.69,142.0,2173.0
2023-12-01,141.98,141.99,141.51,141.68,2291.0
2023-12-02,141.73,142.3,141.62,142.04,614.0
2023-12-04,142.1,142.19,141.8,142.0,807.0
2023-12-05,142.0,142.21,141.68,142.19,1509.0
2023-12-06,142.2,142.56,142.18,142.5,3626.0
2023-12-07,142.43,142.6,141.15,141.39,5599.0
2023-12-08,141.47,141.53,140.79,141.21,8487.0
2023-12-09,141.21,141.33,140.83,141.06,2110.0
2023-12-11,140.86,141.41,140.77,141.33,2468.0
2023-12-12,141.36,142.1,141.12,141.75,1742.0
2023-12-13,141.76,141.95,141.45,141.91,1338.0
2023-12-14,141.88,142.78,141.81,142.32,2630.0
2023-12-15,142.29,142.31,141.69,141.92,1306.0
2023-12-16,141.88,141.99,141.79,141.99,420.0
2023-12-18,141.87,142.16,141.72,142.16,789.0
2023-12-19,142.18,142.86,141.77,142.75,1454.0
2023-12-20,142.87,143.31,142.75,143.21,1368.0
2023-12-21,143.26,143.29,142.77,142.81,721.0
2023-12-22,142.82,142.88,142.49,142.63,1022.0
2023-12-23,142.58,142.7,142.46,142.5,109.0
2023-12-25,142.46,142.82,142.46,142.7,33.0
2023-12-26,142.74,142.74,142.55,142.57,196.0
2023-12-27,142.61,142.97,142.54,142.79,1080.0
2023-12-28,142.81,143.15,142.76,143.06,658.0
2023-12-29,143.01,143.02,142.66,142.66,1241.0
2023-12-30,142.67,142.71,142.58,142.66,309.0
2024-01-02,142.53,142.84,142.52,142.62,42.0
2024-01-03,142.54,142.78,142.54,142.65,89.0
2024-01-04,142.58,143.15,142.48,143.02,1347.0
2024-01-05,142.99,143.08,142.74,142.95,1079.0
2024-01-06,142.97,143.17,142.83,142.94,509.0
2024-01-08,143.02,143.14,143.02,143.02,72.0
